run_order,sequence_order,sequence,system,attempt_kind,primary_run_id,first_system,seed_sort_sha256,status
1,1,infinite/infinite_fast.bag,U0,SCORED,g05-infinite_fast-u0-r01,U0,21cebf3633d8273f2b150646e5f617ad0c0debb29c4cfbc779adb487d165d89d,PENDING
2,1,infinite/infinite_fast.bag,S1,SCORED,g05-infinite_fast-s1-r01,U0,21cebf3633d8273f2b150646e5f617ad0c0debb29c4cfbc779adb487d165d89d,PENDING
3,2,square/square_fast.bag,S1,SCORED,g05-square_fast-s1-r01,S1,2215fbf4c8085c284e312e8777245cf772afce2581f3c5f5aba327eb100bcd44,PENDING
4,2,square/square_fast.bag,U0,SCORED,g05-square_fast-u0-r01,S1,2215fbf4c8085c284e312e8777245cf772afce2581f3c5f5aba327eb100bcd44,PENDING
5,3,square/square.bag,U0,SCORED,g05-square-u0-r01,U0,2f863f8065909d017de817874350f5f7fa7500af1e00a6f2322108a1b90c202c,PENDING
6,3,square/square.bag,S1,SCORED,g05-square-s1-r01,U0,2f863f8065909d017de817874350f5f7fa7500af1e00a6f2322108a1b90c202c,PENDING
7,4,circle/circle_head.bag,S1,SCORED,g05-circle_head-s1-r01,S1,511b473daa9dd1a0045071ed6f1ecadc38060a940469c270c5c04e51dcdd4cfa,PENDING
8,4,circle/circle_head.bag,U0,SCORED,g05-circle_head-u0-r01,S1,511b473daa9dd1a0045071ed6f1ecadc38060a940469c270c5c04e51dcdd4cfa,PENDING
9,5,rotation/rotation.bag,U0,SCORED,g05-rotation-u0-r01,U0,589cda5de9db6adc69eb2f2f53aa04db6ad5b5f8d72e94da17b167177076070d,PENDING
10,5,rotation/rotation.bag,S1,SCORED,g05-rotation-s1-r01,U0,589cda5de9db6adc69eb2f2f53aa04db6ad5b5f8d72e94da17b167177076070d,PENDING
11,6,infinite/infinite.bag,S1,SCORED,g05-infinite-s1-r01,S1,741211281633f1a6a2f8ea42d4407639e69b7a72496312fbfc2a5eb4ab5afabb,PENDING
12,6,infinite/infinite.bag,U0,SCORED,g05-infinite-u0-r01,S1,741211281633f1a6a2f8ea42d4407639e69b7a72496312fbfc2a5eb4ab5afabb,PENDING
13,7,square/square_head.bag,U0,SCORED,g05-square_head-u0-r01,U0,776a9dc98acd445b0669adfb095b4a37307f75648835b8144b50f676bd71e72f,PENDING
14,7,square/square_head.bag,S1,SCORED,g05-square_head-s1-r01,U0,776a9dc98acd445b0669adfb095b4a37307f75648835b8144b50f676bd71e72f,PENDING
