parameter,parser_key,U-NS,L-NS,L-SCHUR,OV-SCHUR,classification
repository_commit,,69488123ed9362dd44b6f28e7f4680abbff1442b,82504db63fafda40dcf44b8e66cbd29609743a1d,82504db63fafda40dcf44b8e66cbd29609743a1d,d988139c0ba3cc51abacb8b5b5acb482a19325ba,provenance
elimination_mode,,nullspace,nullspace,schur,schur,method_selector
method_selection,,source_default,configuration,configuration,source_hardwired,parser_divergence
visual_passes,,1,1,1,1,common
bag_start_seconds,,0.0,0.0,0.0,0.0,common_runtime
temporary_landmark_representation,feat_rep_msckf,GLOBAL_3D,GLOBAL_3D,GLOBAL_3D,GLOBAL_3D,common
fej,use_fej,false,false,false,false,common
camera_extrinsic_calibration,calib_cam_extrinsics,false,false,false,false,common
camera_intrinsic_calibration,calib_cam_intrinsics,false,false,false,false,common
camera_timeoffset_calibration,calib_cam_timeoffset,false,false,false,false,common
imu_intrinsic_calibration,calib_imu_intrinsics,false,false,false,false,common
imu_gravity_sensitivity_calibration,calib_imu_g_sensitivity,false,false,false,false,common
persistent_slam_landmarks,max_slam,0,0,0,0,common
clone_count,max_clones,11,11,11,11,common
accepted_msckf_track_cap,max_msckf_in_update,40,40,40,40,common
stereo,use_stereo,true,true,true,true,common
camera_count,max_cameras,2,2,2,2,common
klt,use_klt,true,true,true,true,common
detection_budget,num_pts,200,200,200,200,common
fast_threshold,fast_threshold,20,20,20,20,common
grid_x,grid_x,5,5,5,5,common
grid_y,grid_y,5,5,5,5,common
minimum_pixel_distance,min_px_dist,10,10,10,10,common
tracking_frequency_hz,track_frequency,21.0,21.0,21.0,21.0,common
downsample_cameras,downsample_cameras,false,false,false,false,common
histogram_method,histogram_method,HISTOGRAM,HISTOGRAM,HISTOGRAM,HISTOGRAM,common
opencv_threads,num_opencv_threads,0,0,0,0,common
publisher_threads,multi_threading_pubs,false,false,false,false,common
subscriber_threads,multi_threading_subs,false,false,false,false,common
integration,integration,rk4,rk4,rk4,rk4,common
gravity_magnitude,gravity_mag,9.81,9.81,9.81,9.81,common
initializer_window_seconds,init_window_time,2.0,2.0,2.0,2.0,common
initializer_imu_threshold,init_imu_thresh,1.5,1.5,1.5,1.5,common
initializer_max_disparity,init_max_disparity,10.0,10.0,10.0,10.0,common
initializer_max_features,init_max_features,50,50,50,50,common
dynamic_initializer,init_dyn_use,false,false,false,false,common
feature_refinement,fi_refine_features,true,true,true,true,common
feature_refinement_max_runs,fi_max_runs,5,5,5,5,common
triangulation_condition_limit,fi_max_cond_number,10000,10000,10000,10000,common
msckf_pixel_sigma,up_msckf_sigma_px,1,1,1,1,common_config
msckf_chi2_multiplier,up_msckf_chi2_multipler,1,1,1,1,common_config
zupt,try_zupt,false,false,false,false,common
aruco,use_aruco,false,false,false,false,common
imu_config,relative_config_imu,kalibr_imu_chain.yaml,kalibr_imu_chain.yaml,kalibr_imu_chain.yaml,kalibr_imu_chain.yaml,common
camera_imu_config,relative_config_imucam,kalibr_imucam_chain.yaml,kalibr_imucam_chain.yaml,kalibr_imucam_chain.yaml,kalibr_imucam_chain.yaml,common
gpu,,false,false,false,false,common_runtime
omp_threads,,1,1,1,1,common_runtime
openblas_threads,,1,1,1,1,common_runtime
mkl_threads,,1,1,1,1,common_runtime
numexpr_threads,,1,1,1,1,common_runtime
veclib_threads,,1,1,1,1,common_runtime
python_hash_seed,,0,0,0,0,common_runtime
timezone,,UTC,UTC,UTC,UTC,common_runtime
locale,,C.UTF-8,C.UTF-8,C.UTF-8,C.UTF-8,common_runtime
cpu_affinity,,required_same,required_same,required_same,required_same,common_runtime
finite_timeout,,required,required,required,required,common_runtime
ov_internal_residual_scale,,not_applicable,not_applicable,not_applicable,0.25,irreducible_source_semantics
ov_internal_huber_threshold,,not_applicable,not_applicable,not_applicable,1.5,irreducible_source_semantics
per_feature_nis_gate,,true,true,true,false,irreducible_source_semantics
