[rosmaster.main][INFO] 2026-07-22 16:37:35,052: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-07-22 16:37:35,052: Starting ROS Master Node
[xmlrpc][INFO] 2026-07-22 16:37:35,052: XML-RPC server binding to 127.0.0.1:11381
[xmlrpc][INFO] 2026-07-22 16:37:35,052: Started XML-RPC server [http://127.0.0.1:11381/]
[rosmaster.master][INFO] 2026-07-22 16:37:35,052: Master initialized: port[11381], uri[http://127.0.0.1:11381/]
[xmlrpc][INFO] 2026-07-22 16:37:35,052: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2026-07-22 16:37:35,082: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,082: +PARAM [/roslaunch/uris/host_127_0_0_1__40771] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/path_bag] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/bag_start] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/bag_durr] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/verbosity] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/config_path] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/use_stereo] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/max_cameras] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/num_opencv_threads] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/multi_threading_pubs] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/multi_threading_subs] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/calib_cam_extrinsics] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/calib_cam_intrinsics] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/calib_cam_timeoffset] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/save_total_state] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/filepath_est] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/filepath_std] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/record_timing_information] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,100: +PARAM [/cp0_vio/record_timing_filepath] by /roslaunch
[rosmaster.master][INFO] 2026-07-22 16:37:35,103: +SERVICE [/rosout/get_loggers] /rosout http://127.0.0.1:45923/
[rosmaster.master][INFO] 2026-07-22 16:37:35,103: +SERVICE [/rosout/set_logger_level] /rosout http://127.0.0.1:45923/
[rosmaster.master][INFO] 2026-07-22 16:37:35,104: +PUB [/rosout_agg] /rosout http://127.0.0.1:45923/
[rosmaster.master][INFO] 2026-07-22 16:37:35,104: +SUB [/rosout] /rosout http://127.0.0.1:45923/
[rosmaster.master][INFO] 2026-07-22 16:37:35,137: +PUB [/rosout] /cp0_vio http://127.0.0.1:38569/
