# timestamp tx ty tz qx qy qz qw
1403636624.66356 -0.040275 -0.044554 0.002733 -0.810816 0.021664 -0.584861 0.006754
1403636624.71356 -0.026862 -0.046353 -0.006557 -0.808533 0.014864 -0.588222 0.007018
1403636624.76356 -0.025065 -0.050196 -0.009469 -0.806332 0.013731 -0.591285 0.004744
1403636624.81356 -0.030807 -0.057123 -0.008917 0.808469 -0.009477 0.588462 0.001198
1403636624.86356 -0.037586 -0.064115 -0.006856 0.810698 -0.005630 0.585405 0.006178
1403636624.91356 -0.045874 -0.071522 -0.003998 0.814845 -0.001026 0.579540 0.012667
1403636624.96356 -0.055304 -0.078647 0.000999 0.818835 0.003404 0.573706 0.018942
1403636625.01356 -0.064609 -0.085243 0.007914 0.822507 0.006247 0.568254 0.023036
1403636625.06356 -0.074363 -0.090105 0.016968 0.826378 0.008263 0.562456 0.025965
1403636625.11356 -0.083004 -0.094095 0.029161 0.829560 0.008753 0.557739 0.026084
1403636625.16356 -0.090568 -0.097331 0.043076 0.831100 0.006072 0.555653 0.022038
1403636625.21356 -0.096397 -0.098670 0.057273 0.830293 0.003961 0.556992 0.018904
1403636625.26356 -0.101527 -0.100513 0.072329 0.828081 0.002301 0.560383 0.015745
1403636625.31356 -0.106798 -0.099969 0.086425 0.826662 0.001429 0.562529 0.013751
1403636625.36356 -0.109129 -0.097706 0.093945 0.826429 0.001352 0.562866 0.013946
1403636625.41356 -0.108493 -0.097809 0.095653 0.827072 0.001285 0.561936 0.013368
1403636625.46356 -0.107744 -0.098361 0.094114 0.828727 0.001553 0.559499 0.013055
1403636625.51356 -0.105862 -0.098505 0.090403 0.829493 0.001322 0.558376 0.012440
1403636625.56356 -0.102279 -0.096979 0.086771 0.830077 0.001961 0.557506 0.012446
1403636625.61356 -0.098222 -0.096535 0.085441 0.829899 0.002729 0.557759 0.012838
1403636625.66356 -0.094067 -0.098706 0.087428 0.828741 0.003046 0.559482 0.012618
1403636625.71356 -0.087435 -0.096072 0.094698 0.826835 0.003189 0.562314 0.011718
1403636625.76356 -0.080854 -0.097050 0.105255 0.823722 0.003726 0.566872 0.011203
1403636625.81356 -0.075419 -0.099534 0.119127 0.820402 0.003528 0.571694 0.009666
1403636625.86356 -0.068108 -0.098498 0.137943 0.816832 0.003057 0.576811 0.008057
1403636625.91356 -0.060507 -0.097721 0.159740 0.814675 0.002397 0.579877 0.006494
1403636625.96356 -0.053313 -0.095171 0.183645 0.812914 0.002068 0.582354 0.005512
1403636626.01356 -0.046079 -0.092170 0.207963 0.811473 0.001755 0.584370 0.004534
1403636626.06356 -0.039354 -0.088888 0.231411 0.810629 -0.000501 0.585560 0.000743
1403636626.11356 -0.032998 -0.086238 0.254205 -0.810135 0.003269 -0.586221 0.003866
1403636626.16356 -0.026701 -0.083981 0.276097 -0.809551 0.006175 -0.586958 0.008301
1403636626.21356 -0.020924 -0.082261 0.296008 -0.809126 0.008636 -0.587444 0.012253
1403636626.26356 -0.015768 -0.081635 0.312742 -0.808892 0.010122 -0.587688 0.014640
1403636626.31356 -0.010291 -0.081290 0.326163 -0.808812 0.010518 -0.587763 0.015725
1403636626.36356 -0.005158 -0.084284 0.335957 -0.808814 0.010435 -0.587757 0.015897
1403636626.41356 -0.000909 -0.089492 0.341551 -0.808578 0.009280 -0.588123 0.015021
1403636626.46356 0.003199 -0.093699 0.345766 -0.808166 0.007244 -0.588769 0.012875
1403636626.51356 0.009398 -0.094933 0.349584 -0.806521 0.004732 -0.591107 0.009697
1403636626.56356 0.012245 -0.100225 0.351987 -0.804517 0.001922 -0.593887 0.006803
1403636626.61356 0.014808 -0.103908 0.352533 -0.802731 -0.000965 -0.596327 0.004111
1403636626.66356 0.016253 -0.107777 0.352870 -0.801266 -0.003558 -0.598295 0.001895
1403636626.71356 0.017115 -0.109903 0.351745 -0.801641 -0.005070 -0.597784 0.001086
1403636626.76356 0.015997 -0.113322 0.349153 -0.803084 -0.006262 -0.595831 0.001279
1403636626.81356 0.013895 -0.116607 0.345633 -0.804798 -0.007087 -0.593504 0.001486
1403636626.86356 0.010859 -0.119875 0.341050 -0.807036 -0.007850 -0.590448 0.001589
1403636626.91356 0.006959 -0.123609 0.335810 -0.809506 -0.008430 -0.587049 0.001585
1403636626.96356 0.002416 -0.127377 0.329852 -0.812294 -0.008985 -0.583179 0.000933
1403636627.01356 -0.002416 -0.131246 0.323375 -0.814827 -0.009303 -0.579629 0.000725
1403636627.06356 -0.007074 -0.134777 0.317491 -0.817172 -0.009323 -0.576319 0.000266
1403636627.11356 -0.011763 -0.138409 0.313345 -0.819961 -0.009514 -0.572340 0.000316
1403636627.16356 -0.015925 -0.141988 0.312929 -0.819275 -0.009388 -0.573324 0.000775
1403636627.21356 -0.019810 -0.145603 0.315357 -0.817731 -0.009734 -0.575518 0.000416
1403636627.26356 -0.022941 -0.149144 0.320384 -0.815353 -0.009847 -0.578881 0.000366
1403636627.31356 -0.026585 -0.152640 0.327509 -0.813341 -0.009484 -0.581708 0.001619
1403636627.36356 -0.029949 -0.156059 0.336691 -0.812484 -0.008858 -0.582911 0.002465
1403636627.41356 -0.033576 -0.159371 0.347808 -0.812201 -0.008379 -0.583308 0.003472
1403636627.46356 -0.037961 -0.162795 0.361022 -0.811536 -0.007011 -0.584245 0.004252
1403636627.51356 -0.042084 -0.166416 0.373472 -0.812139 -0.004381 -0.583433 0.004102
1403636627.56356 -0.046575 -0.170382 0.382772 -0.812638 -0.000821 -0.582763 0.002716
1403636627.61356 -0.051492 -0.174506 0.387862 -0.813416 0.002862 -0.581675 0.000163
1403636627.66356 -0.056744 -0.178964 0.388667 0.815181 -0.005904 0.579172 0.002175
1403636627.71356 -0.062083 -0.183893 0.385840 0.817960 -0.009662 0.575170 0.005300
1403636627.76356 -0.066951 -0.189505 0.380891 0.821428 -0.014094 0.570066 0.009081
1403636627.81356 -0.071157 -0.195708 0.375352 0.824567 -0.018855 0.565296 0.013181
1403636627.86356 -0.074441 -0.202221 0.368977 0.827498 -0.024186 0.560667 0.017719
1403636627.91356 -0.076881 -0.208969 0.363786 0.830263 -0.028386 0.556231 0.021566
1403636627.96356 -0.077769 -0.215509 0.360421 0.831704 -0.031689 0.553738 0.025270
1403636628.01356 -0.076694 -0.222004 0.359697 0.832324 -0.034718 0.552469 0.028450
1403636628.06356 -0.073205 -0.228359 0.362626 0.831162 -0.037252 0.553928 0.030747
1403636628.11356 -0.068714 -0.234547 0.368709 0.827518 -0.039616 0.559102 0.032415
1403636628.16356 -0.063081 -0.240356 0.377136 0.822352 -0.042104 0.566460 0.032965
1403636628.21356 -0.056992 -0.246154 0.386899 0.817435 -0.044473 0.573369 0.032708
1403636628.26356 -0.050917 -0.251887 0.397949 0.813736 -0.047628 0.578454 0.030934
1403636628.31356 -0.045803 -0.258063 0.410489 0.811071 -0.050674 0.582074 0.028034
1403636628.36356 -0.040631 -0.264555 0.422765 0.809882 -0.052546 0.583645 0.026231
1403636628.41356 -0.036042 -0.271311 0.434846 0.809546 -0.054094 0.584039 0.024644
